地名,センター,燃やせるごみ,枝・葉・草,燃やせないごみ,容器プラ,雑がみ,びん・缶・ペット
北区 北6条～31条の西○丁目,札幌センター1,月 木,20170927 20171025 20171122 20180516 20180613 20180711 20180808 20180905,20170913 20171011 20171108 20171206 20180110 20180207 20180307 20180404 20180502 20180530 20180627 20180725 20180822 20180919,火,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,金
北区 北32条西2丁目～12丁目,札幌センター1,月 木,20170927 20171025 20171122 20180516 20180613 20180711 20180808 20180905,20170913 20171011 20171108 20171206 20180110 20180207 20180307 20180404 20180502 20180530 20180627 20180725 20180822 20180919,火,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,金
北区 北33条西2丁目～8丁目,札幌センター1,月 木,20170927 20171025 20171122 20180516 20180613 20180711 20180808 20180905,20170913 20171011 20171108 20171206 20180110 20180207 20180307 20180404 20180502 20180530 20180627 20180725 20180822 20180919,火,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,金
北区 新川○条○丁目、○番地,札幌センター1,月 木,20170926 20171024 20171121 20180515 20180612 20180710 20180807 20180904,20170912 20171010 20171107 20171205 20180109 20180206 20180306 20180403 20180501 20180529 20180626 20180724 20180821 20180918,金,20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 20180410 20180424 20180508 20180522 20180605 20180619 20180703 20180717 20180731 20180814 20180828 20180911 20180925,水
北区 新川西○条○丁目,札幌センター1,月 木,20170926 20171024 20171121 20180515 20180612 20180710 20180807 20180904,20170912 20171010 20171107 20171205 20180109 20180206 20180306 20180403 20180501 20180529 20180626 20180724 20180821 20180918,金,20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 20180410 20180424 20180508 20180522 20180605 20180619 20180703 20180717 20180731 20180814 20180828 20180911 20180925,水
北区 新琴似1条～3条の12丁目・13丁目,札幌センター1,月 木,20170926 20171024 20171121 20180515 20180612 20180710 20180807 20180904,20170912 20171010 20171107 20171205 20180109 20180206 20180306 20180403 20180501 20180529 20180626 20180724 20180821 20180918,金,20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 20180410 20180424 20180508 20180522 20180605 20180619 20180703 20180717 20180731 20180814 20180828 20180911 20180925,水
北区 新琴似4条～10条の12丁目～17丁目,札幌センター1,月 木,20170926 20171024 20171121 20180515 20180612 20180710 20180807 20180904,20170912 20171010 20171107 20171205 20180109 20180206 20180306 20180403 20180501 20180529 20180626 20180724 20180821 20180918,金,20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 20180410 20180424 20180508 20180522 20180605 20180619 20180703 20180717 20180731 20180814 20180828 20180911 20180925,水
北区 新琴似11条・12条の14丁目～17丁目,札幌センター1,月 木,20170926 20171024 20171121 20180515 20180612 20180710 20180807 20180904,20170912 20171010 20171107 20171205 20180109 20180206 20180306 20180403 20180501 20180529 20180626 20180724 20180821 20180918,金,20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 20180410 20180424 20180508 20180522 20180605 20180619 20180703 20180717 20180731 20180814 20180828 20180911 20180925,水
北区 新琴似町○番地,札幌センター1,月 木,20170926 20171024 20171121 20180515 20180612 20180710 20180807 20180904,20170912 20171010 20171107 20171205 20180109 20180206 20180306 20180403 20180501 20180529 20180626 20180724 20180821 20180918,金,20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 20180410 20180424 20180508 20180522 20180605 20180619 20180703 20180717 20180731 20180814 20180828 20180911 20180925,水
北区 新琴似1条～10条の1丁目～11丁目,札幌センター1,月 木,20170901 20170929 20171027 20171124 20180518 20180615 20180713 20180810 20180907,20170915 20171013 20171110 20171208 20180112 20180209 20180309 20180406 20180504 20180601 20180629 20180727 20180824 20180921,水,20170908 20170922 20171006 20171020 20171103 20171117 20171201 20171215 20171229 20180119 20180202 20180216 20180302 20180316 20180330 20180413 20180427 20180511 20180525 20180608 20180622 20180706 20180720 20180803 20180817 20180831 20180914 20180928,火
